id_seq; Identificação da Compra; Número do Item; Modalidade; Código do CATMAT/CATSER; Item;Unidade de Fornecimento; Quantidade Ofertada; Valor Unitário;Fornecedor; Órgão; UASG - Unidade Gestora; Objeto da compra; Valor proposto unitário; Descrção; Forma da compra; Marca; Data resultado;CNPJ/CPF Fornecedor; Porte Fornecedor; Orgão Superior; Número UASG; Ano compra; Painel; Data da Compra
1414364;00006/2021;00006;Pregão;440337;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:64 MB, TIPO CARTAO:COMPACT FLASH, USO:CAMERA FOTOGRÁFICA DIGITAL, APLICAÇÃO:ARMAZENAR FOTOS, IMAGENS E DADOS;UNIDADE;80;55,93;GYN COMERCIO DE PRODUTOS EM T.I EIRELI;DEPARTAMENTO DE POLICIA FEDERAL;200354 - SUPERINTENDENCIA REG.DEP.POLICIA FEDERAL - MS;Pregão Eletrônico -  Registro de preços para futuras a aquisição de materiais de processamento de dados e materiais elétricos para suprir as necessidades da Superintendência da Polícia Federal do Estado do Mato Grosso do Sul e suas unidades subordinadas, conforme condições, quantidades e  exigências estabelecidas no Edital e seus anexos.;R$ 55,93;SISRP;ADATA;13/07/2021;30426527000143;Pequena Empresa;MINISTERIO DA JUSTICA;200354;2021;5;MATERIAIS;R$ 55,93
307802;00001/2021;00001;Pregão;450532;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:64 GB, INTERFACE:USB 2.0, CARACTERÍSTICAS ADICIONAIS:CAPA/CORPO PLÁSTICO CUSTOMIZADO/CONF. MODELO ÓRGÃO, TIPO:PEN DRIVE;UNIDADE;5;56;GLICERIO OLIVEIRA RAMOS;ESTADO DA BAHIA;928573 - CÂMARA MUNICIPAL DE VEREADORES DE CORRENTINA;Pregão Eletrônico -  Pregão Eletrônico para o registro de preços para futuras e eventuais Contratações de empresas para o fornecimento de suprimentos, componentes, acessórios e periféricos de informática destinados a manutenção dos trabalhos administrativos da Câmara e dos Gabinetes dos Vereadores da Câmara de Vereadores de Correntina - Bahia.;R$ 104,5;SISRP;SANDISK;29/10/2021;96812318000146;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;928573;2021;5;MATERIAIS;R$ 56
1169819;00024/2020;00018;Pregão;450734;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:64 GB, TIPO CARTAO:MICRO SD, USO:INFORMÁTICA, APLICAÇÃO:ARMAZENAR FOTOS, IMAGENS E DADOS, CARACTERÍSTICAS ADICIONAIS:COM ADAPTADOR;UNIDADE;79;56,18;W. A DOS SANTOS RIVEIRA COMERCIO E SERVICOS;INST.FED.DE EDUC.,CIENC.E TEC. DE ALAGOAS;158147 - INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS;Pregão Eletrônico -  Materiais de consumo de tecnologia da informação.;R$ 68,79;SISRP;ADATA;26/04/2021;12139758000194;Micro Empresa;MINISTERIO DA EDUCACAO;158147;2021;5;MATERIAIS;R$ 56,18
1171620;00001/2021;00013;Pregão;450532;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:64 GB, INTERFACE:USB 2.0, CARACTERÍSTICAS ADICIONAIS:CAPA/CORPO PLÁSTICO CUSTOMIZADO/CONF. MODELO ÓRGÃO, TIPO:PEN DRIVE;UNIDADE;50;56,4408;HYPER TECHNOLOGIES COMERCIO DE INFORMATICA E SERVICOS EIRELI;COMANDO DO EXERCITO;160491 - COMISSAO REGIONAL DE OBRAS/2;Pregão Eletrônico -  Aquisição de materiais de tecnologia da informação   TI (Permanente), para implantação da infraestrutura física da rede de dados, servidores e terminais de usuário da Comissão Regional de Obras da 2ª Região Militar   CRO/2;R$ 0,01;SISRP;MULTILASER;29/04/2021;40689972000150;Pequena Empresa;MINISTERIO DEFESA;160491;2021;5;MATERIAIS;R$ 56,4408
13711;00015/2021;00081;Pregão;374603;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:64 GB, INTERFACE:USB, TIPO:PEN DRIVE;UNIDADE;40;56,95;ASTOR STAUDT COMERCIO DE PRODUTOS EDUCATIVOS EIRELI;ESTADO DO RIO GRANDE DO SUL;988631 - PREFEITURA MUNICIPAL DE DONA FRANCISCA;Pregão Eletrônico -  Aquisição parcelada a eventual de Materiais de Expediente;R$ 89,45;SISRP;MAXPRINT;09/09/2021;91824383000178;Pequena Empresa;REPUBLICA FEDERATIVA DO BRASIL;988631;2021;5;MATERIAIS;R$ 56,95
1606275;00001/2021;00050;Pregão;443472;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:64 GB, INTERFACE:USB 3.0, VELOCIDADE LEITURA:150 MBPS, CARACTERÍSTICAS ADICIONAIS:CAPA/CORPO PLÁSTICO CUSTOMIZADO/CONF. MODELO ÓRGÃO, TIPO:PEN DRIVE;UNIDADE;51;57;CADONA E LUNARDI LTDA;ESTADO DE SANTA CATARINA;926718 - CONSELHO REGIONAL DE EDUCAÇÃO FÍSICA DE SC;Pregão Eletrônico -  Aquisição de itens de Informática, eletrônicos e licenças de uso, de modo a garantir maior estrutura operacional e oferecer melhores condições de trabalho e infraestrutura. Os itens e as respectivas descrições e quantidades estão descritas neste Edital e anexos. Qualquer divergência entre as especificações  dos itens no COMPRASNET/SIASG/CATMAT/CATSER  e  o Termo de Referência, prevalecerá às especificações do TR.;R$ 74;SISRP;SANDISK;10/06/2021;08735676000135;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;926718;2021;5;MATERIAIS;R$ 57
1392895;00001/2021;00012;Pregão;385479;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:32 GB, TIPO CARTAO:SDHC, APLICAÇÃO:ARMAZENAR FOTOS, IMAGENS E DADOS;UNIDADE;210;57;ANDERSON SOARES DE SOUZA COMERCIO DE EQUIPAMENTOS DE INFORMATICA;INST.FED.DE EDUC.,CIENC.E TEC.DO RJ;158157 - INST.FED.DE EDUC.,CIENC.E TEC.DO R.DE JANEIRO;Pregão Eletrônico -  Aquisição de equipamentos e materiais para audiovisual e instrumentos musicais.;R$ 57;SISRP;SANDISK;19/08/2021;33479392000172;Micro Empresa;MINISTERIO DA EDUCACAO;158157;2021;5;MATERIAIS;R$ 57
1267449;00021/2021;00006;Pregão;443472;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:64 GB, INTERFACE:USB 3.0, VELOCIDADE LEITURA:150 MBPS, CARACTERÍSTICAS ADICIONAIS:CAPA/CORPO PLÁSTICO CUSTOMIZADO/CONF. MODELO ÓRGÃO, TIPO:PEN DRIVE;UNIDADE;20;57;ANDERSON SOARES DE SOUZA COMERCIO DE EQUIPAMENTOS DE INFORMATICA;ESTADO DO ACRE;925899 - MINISTÉRIO PUBLICO DO ESTADO DO ACRE;Pregão Eletrônico -  Registro de preços visando à aquisição de equipamentos de Informática e Eletrônicos com objetivo de suprir as demandas do Ministério Público do Estado do Acre   MPAC, conforme especificações e quantidades definidas no Termo de Referência   Anexo I deste Edital.;R$ 100;SISRP;OEM;19/10/2021;33479392000172;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;925899;2021;5;MATERIAIS;R$ 57
1338899;00018/2021;00166;Pregão;426616;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:32 GB, TIPO CARTAO:FLASH CARD, APLICAÇÃO:ARMAZENAMENTO DE DADOS;UNIDADE;10;57,95;NVF COMERCIO E SERVICOS DE CLIMATIZACAO EIRELI;COMANDO DO EXERCITO;160157 - 9 BATALHAO DE ENGENHARIA DE CONSTRUCAO-MEX/MT;Pregão Eletrônico -  Aquisição de materiais de expediente, conforme condições, quantidades, exigências e estimativas estabelecidas neste instrumento, visando à vida vegetativa do 9º Batalhão de Engenharia de Construção (9º BEC) na guarnição de Cuiabá.;R$ 63,13;SISRP;MULTILASER;05/10/2021;41401446000105;Pequena Empresa;MINISTERIO DEFESA;160157;2021;5;MATERIAIS;R$ 57,95
1477005;00002/2021;00003;Pregão;375052;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:64 GB, INTERFACE:USB 2.0, APLICAÇÃO:ARMAZENAMENTO DE DADOS, VELOCIDADE GRAVAÇÃO:15 MBPS, VELOCIDADE LEITURA:20 MBPS, CARACTERÍSTICAS ADICIONAIS:RESISTENTE ÁGUA E IMPACTOS, CABO EXTENSOR USB 2.0, COMPATIBILIDADE SISTEMAS:WINDOWS XP, TIPO:PEN DRIVE;UNIDADE;54;58;LIVRARIA E PAPELARIA RENASCER LTDA;FUNDACAO NACIONAL DE SAUDE;255005 - FUNDACAO NACIONAL DE SAUDE - BA;Pregão Eletrônico -  Contratação de empresas para o fornecimento de materiais de consumo;R$ 75,25;SISRP;MULTILASER;02/06/2021;10849617000130;Micro Empresa;MINISTERIO DA SAUDE;255005;2021;5;MATERIAIS;R$ 58
