id_seq; Identificação da Compra; Número do Item; Modalidade; Código do CATMAT/CATSER; Item;Unidade de Fornecimento; Quantidade Ofertada; Valor Unitário;Fornecedor; Órgão; UASG - Unidade Gestora; Objeto da compra; Valor proposto unitário; Descrção; Forma da compra; Marca; Data resultado;CNPJ/CPF Fornecedor; Porte Fornecedor; Orgão Superior; Número UASG; Ano compra; Painel; Data da Compra
2016955;00134/2021;00001;Dispensa de Licitação;412076;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:64 GB, TIPO CARTAO:SDXC, APLICAÇÃO:ARMAZENAMENTO DE DADOS, CARACTERÍSTICAS ADICIONAIS:VELOCIDADE LEITURA: 45 MB/S;UNIDADE;1;99;BIG FIELD HOBBY AEROMODELISMO LTDA;COMANDO DO EXERCITO;160369 - 3 GRUPO DE ARTILHARIA ANTIAEREA/RS;Aquisição de Material de Consumo - Cartão de Memória;-;SISPP;SDX;30/07/2021;04167713000103;Pequena Empresa;MINISTERIO DEFESA;160369;2021;6;MATERIAIS;R$ 99
603501;00001/2021;00032;Pregão;423839;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:32 GB, TIPO CARTAO:COMPACT FLASH, USO:CAMERA FOTOGRÁFICA DIGITAL, APLICAÇÃO:ARMAZENAMENTO DE DADOS;UNIDADE;6;100;J. M. E. P. INFORMATICA LTDA;ESTADO DE SAO PAULO;926780 - FUNDAÇÃO CULTURAL DE JACAREHY - SP;Pregão Eletrônico -  Aquisição de equipamentos fotográficos, de multimídia, de informática, sonorização, iluminação, e acessórios, a serem utilizados no CEJU (Centro da Juventude) - Projeto Itaú Social, divididos em 05 lotes, de acordo com as quantidades e especificações constantes no Termo de Referência - Anexo I;R$ 100;SISPP;SANDISK;26/05/2021;34647353000108;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;926780;2021;5;MATERIAIS;R$ 100
291090;00015/2021;00011;Pregão;453304;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:64 GB, TIPO CARTAO:SDXC;UNIDADE;2;102,5;E G DE MELO DE SOUZA LTDA;UNIVERSIDADE FEDERAL RURAL DA AMAZONIA;153034 - UNIVERSIDADE FEDERAL RURAL DA AMAZONIA;Pregão Eletrônico -  Aquisição de equipamentos para auxiliar a Assessoria de Comunicação da Ufra no desenvolvimento de suas atividades no que diz respeito à produção de materiais de divulgação institucional no âmbito do ensino, da pesquisa e da extensão, com foco na produção de materiais audiovisuais;R$ 400;SISPP;SANDISK EXTREME;08/06/2021;36327259000199;Pequena Empresa;MINISTERIO DA EDUCACAO;153034;2021;5;MATERIAIS;R$ 102,5
1615714;00024/2020;00137;Pregão;151033;MEMÓRIA FLASH;MEMÓRIA FLASH, MEMÓRIA FLASH;UNIDADE;35;103;A6 TECNOLOGIA COMERCIO E SERVICOS EIRELI;COMANDO DO EXERCITO;160098 - BASE ADMINISTRATIVA DA BDA DE OP.ESPECIAISS;Pregão Eletrônico -  Registro de preços para eventuais futuras aquisições de materiais de TECNOLOGIA DA INFORMAÇÃO para o Comando de Operações Especiais;R$ 109;SISRP;SANDISK;26/07/2021;03448319000172;Pequena Empresa;MINISTERIO DEFESA;160098;2021;5;MATERIAIS;R$ 103
1982945;00003/2021;00004;Dispensa de Licitação;412076;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:64 GB, TIPO CARTAO:SDXC, APLICAÇÃO:ARMAZENAMENTO DE DADOS, CARACTERÍSTICAS ADICIONAIS:VELOCIDADE LEITURA: 45 MB/S;UNIDADE;1;103,4;ALEXANDRE FREIRE;ESTADO DO MARANHAO;456880 - AGÊNCIA ESTADUAL DE DEFESA AGROPECUÁRIA DO MA;Aquisição de equipamentos de fotografia, áudio, vídeo, iluminação e acessórios, para melhorar o desenvolvimento da área de comunicação da Agência Estadual de Defesa Agropecuária do Maranhão   AGED- MA.;-;SISPP;SANDISK;24/09/2021;39334587000100;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;456880;2021;6;MATERIAIS;R$ 103,4
1332723;00028/2021;00090;Pregão;453304;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:64 GB, TIPO CARTAO:SDXC;UNIDADE;25;104;SANDRA H. G. ZEFERINO;COMANDO DO EXERCITO;160482 - 1A. BRIGADA DE INFANTARIA DE SELVA/RR;Pregão Eletrônico -  Aquisição de material para instrução, preparo e emprego da tropa militar da 1ª BdaInfSl, conforme condições, quantidades e exigências estabelecidas em Edital e seus anexos.;R$ 104;SISRP;MULTILASER;06/09/2021;13085554000180;Micro Empresa;MINISTERIO DEFESA;160482;2021;5;MATERIAIS;R$ 104
1620588;00031/2020;00025;Pregão;235465;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:128 MB, INTERFACE:USB, APLICAÇÃO:ARMAZENAMENTO DE ARQUIVOS;UNIDADE;762;104,6342;ANDERSON SOARES DE SOUZA COMERCIO DE EQUIPAMENTOS DE INFORMATICA;INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE;158126 - INST.FED.SUL R.GRANDENSE;Pregão Eletrônico -  Aquisição de material de consumo de informática para atender a oferta de 4.500 vagas em cursos FIC na modalidade de EaD, TED 9356., conforme condições, quantidades e exigências estabelecidas neste instrumento;R$ 198;SISRP;OEM;20/04/2021;33479392000172;Micro Empresa;MINISTERIO DA EDUCACAO;158126;2021;5;MATERIAIS;R$ 104,6342
1615848;00012/2021;00003;Pregão;412076;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:64 GB, TIPO CARTAO:SDXC, APLICAÇÃO:ARMAZENAMENTO DE DADOS, CARACTERÍSTICAS ADICIONAIS:VELOCIDADE LEITURA: 45 MB/S;UNIDADE;2;111,61;HYPER TECHNOLOGIES COMERCIO DE INFORMATICA E SERVICOS EIRELI;FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA;154055 - MEC-FUNDACAO UNIVERSIDADE DE RONDONIA/RO;Pregão Eletrônico -  Aquisição de Material de CONSUMO - TIC, conforme condições, quantidades e exigências estabelecidas no Termo de Referência, para atender as demandas dos Campi de Cacoal, Guajará-Mirim, Porto Velho, Presidente Médici e Vilhena da Fundação Universidade Federal de Rondônia.;R$ 141,21;SISRP;MULTILASER;13/09/2021;40689972000150;Pequena Empresa;MINISTERIO DA EDUCACAO;154055;2021;5;MATERIAIS;R$ 111,61
1940762;00119/2021;00003;Dispensa de Licitação;412076;MEMÓRIA EM CARTÃO MAGNÉTICO;MEMÓRIA EM CARTÃO MAGNÉTICO, CAPACIDADE MEMÓRIA:64 GB, TIPO CARTAO:SDXC, APLICAÇÃO:ARMAZENAMENTO DE DADOS, CARACTERÍSTICAS ADICIONAIS:VELOCIDADE LEITURA: 45 MB/S;UNIDADE;1;111,62;GUSTAVO GONCALVES DA COSTA BATISTA 13841389600;INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS;158122 - INST.FED.DE EDUC.,CIENCIA E TECNOLOGIA DE MG;Aquisição de Itens de Áudio e Vídeo necessários para o desenvolvimento das atividades de comunicação do campus Santa Luzia;-;SISPP;COMPATÍVEL;19/07/2021;39237868000145;Micro Empresa;MINISTERIO DA EDUCACAO;158122;2021;6;MATERIAIS;R$ 111,62
1605908;00009/2021;00006;Pregão;151033;MEMÓRIA FLASH;MEMÓRIA FLASH, MEMÓRIA FLASH;UNIDADE;20;112,5;GYN COMERCIO DE PRODUTOS EM T.I EIRELI;MINISTERIO PUBLICO DA UNIAO;200090 - PROCURADORIA DA REPUBLICA - PE;Pregão Eletrônico -  Contratação de empresa especializada para fornecimento de diversos equipamentos de informática a fim de atender às necessidades da Procuradoria da República em Pernambuco, conforme especificações (ANEXO I) e consoante as demais condições estatuídas no edital e seus anexos.;R$ 134,36;SISPP;ADATA;08/09/2021;30426527000143;Pequena Empresa;MINISTERIO PUBLICO DA UNIAO;200090;2021;5;MATERIAIS;R$ 112,5
