id_seq; Identificação da Compra; Número do Item; Modalidade; Código do CATMAT/CATSER; Item;Unidade de Fornecimento; Quantidade Ofertada; Valor Unitário;Fornecedor; Órgão; UASG - Unidade Gestora; Objeto da compra; Valor proposto unitário; Descrção; Forma da compra; Marca; Data resultado;CNPJ/CPF Fornecedor; Porte Fornecedor; Orgão Superior; Número UASG; Ano compra; Painel; Data da Compra
1295947;00026/2021;00025;Pregão;396111;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:8 GB, INTERFACE:USB, VELOCIDADE GRAVAÇÃO:MÁXIMA 8 MBPS, VELOCIDADE LEITURA:MÁXIMA 20 MBPS, CARACTERÍSTICAS ADICIONAIS:CAPA/CORPO PLÁSTICO CUSTOMIZADO/CONF. MODELO ÓRGÃO, COMPATIBILIDADE SISTEMAS:WINDOWS XP/VISTA/7/MACINTOSH/LINUX.PLUG & PLAY, TIPO:PEN DRIVE;UNIDADE;890;20,49;ANDERSON SOARES DE SOUZA COMERCIO DE EQUIPAMENTOS DE INFORMATICA;COMANDO DO EXERCITO;160472 - 5 BATALHAO DE INFANTARIA LEVE - 5 B I L;Pregão Eletrônico -  Registro de preços para aquisição de material gráficos e banners por encomenda e brindes, pregão eletrônico nº  26-2021/GCALC-12ª Bda Inf L.;R$ 20,9;SISRP;OEM/WERNETECH;13/10/2021;33479392000172;Micro Empresa;MINISTERIO DEFESA;160472;2021;5;MATERIAIS;R$ 20,49
326246;01609/2020;00020;Pregão;366219;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:16 GB, INTERFACE:USB 2.0, APLICAÇÃO:ARMAZENAMENTO DE DADOS;UNIDADE;2.153;20,57;EASYTECH INFORMATICA E SERVICOS LTDA;ESTADO DO CEARA;943001 - GOVERNO DO ESTADO DO CEARA;Pregão Eletrônico -  Registro de Preços para futuras e eventuais aquisições de Material de Consumo   Expediente (Suprimentos de TI), de acordo com as especificações e quantitativos previstos no Anexo I   Termo de Referência deste edital.;R$ 38;SISPP;MULTILASER;01/09/2021;05462543000144;Pequena Empresa;REPUBLICA FEDERATIVA DO BRASIL;943001;2021;5;MATERIAIS;R$ 20,57
256594;01609/2020;00019;Pregão;366219;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:16 GB, INTERFACE:USB 2.0, APLICAÇÃO:ARMAZENAMENTO DE DADOS;UNIDADE;6.665;20,57;JOSE RONYERDD FERREIRA RAMIRO;ESTADO DO CEARA;943001 - GOVERNO DO ESTADO DO CEARA;Pregão Eletrônico -  Registro de Preços para futuras e eventuais aquisições de Material de Consumo   Expediente (Suprimentos de TI), de acordo com as especificações e quantitativos previstos no Anexo I   Termo de Referência deste edital.;R$ 40;SISPP;JASTER;01/09/2021;22361150000163;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;943001;2021;5;MATERIAIS;R$ 20,57
1442026;00006/2021;00083;Pregão;368134;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:8 GB, INTERFACE:USB, TIPO:PEN DRIVE;UNIDADE;305;20,58;ALBERTO DIAS DE SOUZA 24616211876;FUNDACAO FACULDADE FED.CIENCIAS MEDICAS POA;154032 - UNIVERSIDADE FED. DE CIENCIAS DA SAUDE/RS;Pregão Eletrônico -  Aquisição, por meio do Sistema de Registro de Preços, de material de almoxarifado, para fornecimento num período de 12 meses, conforme condições, quantidades e exigências estabelecidas neste edital e seus anexos.;R$ 28,23;SISRP;MULTILASER;29/09/2021;37593189000183;Micro Empresa;MINISTERIO DA EDUCACAO;154032;2021;5;MATERIAIS;R$ 20,58
1618396;00033/2021;00037;Pregão;427937;MEMÓRIA FLASH;MEMÓRIA FLASH, CAPACIDADE:16 GB, TIPO:PEN DRIVE, INTERFACE:USB 2.0 E WINDOWS XP/VISTA/7;UNIDADE;20;20,59;ARTPROMO COMERCIO DE BRINDES E PRODUTOS PROMOCIONAIS LTDA;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;155909 - COMPLEXO HOSPITALAR UNIVERSITÁRIO DA UFPA;Pregão Eletrônico -  AQUISIÇÃO DE MATERIAIS DE PROCESSAMENTO DE DADOS de acordo com as especificações e quantitativos constantes no Termo de Referência, ANEXO I.;R$ 50;SISRP;ARTPROMO;29/07/2021;29981443000192;Micro Empresa;MINISTERIO DA EDUCACAO;155909;2021;5;MATERIAIS;R$ 20,59
1614165;00014/2021;00307;Pregão;366219;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:16 GB, INTERFACE:USB 2.0, APLICAÇÃO:ARMAZENAMENTO DE DADOS;UNIDADE;650;20,79;EUROTECH TECNOLOGIA LTDA;COMANDO DO EXERCITO;160204 - 25 BATALHAO DE CACADORES;Pregão Eletrônico -  Aquisição de material de expediente, limpeza, diversos, piscina e material de informática, no âmbito das UGs participantes do Grupo de Coordenação e Acompanhamento das Licitações e Contratos (GCALC), da guarnição de Teresina-PI, nos termos do parágrafo 2º, do art. 12, da Portaria nº 01, de 27 JAN 14, da Secretaria de Economia e Finanças do Exército;R$ 29,36;SISRP;MULTILASER;13/09/2021;39496569000206;Pequena Empresa;MINISTERIO DEFESA;160204;2021;5;MATERIAIS;R$ 20,79
96693;00079/2021;00005;Pregão;449835;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:16 GB, INTERFACE:USB 3.0, APLICAÇÃO:ARMAZENAMENTO DE DADOS, VELOCIDADE GRAVAÇÃO:10 MBPS, VELOCIDADE LEITURA:40 MBPS, COMPATIBILIDADE SISTEMAS:WINDOWS 7, WINDOWS 8, WINDOWS 10 E LINUX, TIPO:PEN DRIVE;UNIDADE;500;20,8;BRINDES INTELIGENTES - INDUSTRIA E COMERCIO DE BRINDES LTDA;DISTRITO FEDERAL;974002 - SECRETARIA DE ESTADO DE ECONOMIA DO DF;Pregão Eletrônico -  Aquisição de materiais de consumo promocionais personalizados (bloco de anotação, agenda, caneca, camiseta e outros), a fim de atender a demanda da Secretaria Executiva de Valorização e Qualidade de Vida - SEQUALI, da Secretaria de Estado de Economia do Distrito Federal, conforme condições e especificações contidas no Edital e seus Anexos.;R$ 32,94;SISPP;PRÓPRIA;16/09/2021;00130699000104;Pequena Empresa;REPUBLICA FEDERATIVA DO BRASIL;974002;2021;5;MATERIAIS;R$ 20,8
214543;00026/2021;00070;Pregão;460553;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:8 GB, INTERFACE:USB, APLICAÇÃO:ARMAZENAMENTO DE DADOS, TIPO:PEN DRIVE;UNIDADE;15;20,88;IRMAOS BARRADAS COMERCIO E SERVICOS EIRELI;ESTADO DO PARANA;987791 - PREFEITURA MUNICIPAL DE PRUDENTÓPOLIS/PR;Pregão Eletrônico -  Registro de Preços para a aquisição de suprimentos de informática e demais itens eletrônicos destinados a diversas secretarias.;R$ 30,65;SISRP;MULTILASER;16/04/2021;18355585000128;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;987791;2021;5;MATERIAIS;R$ 20,88
421497;00026/2021;00027;Pregão;415484;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:16 GB, INTERFACE:USB 2.0, CARACTERÍSTICAS ADICIONAIS:CORPO PLÁSTICO, ADAPTADOR COM PROTEÇÃO METÁLICA, TIPO:PEN DRIVE;UNIDADE;200;21;BRASITUR EVENTOS E TURISMO LTDA;ESTADO DE TOCANTINS;925814 - TRIBUNAL DE JUSTIÇA DO ESTADO DE TOCANTINS;Pregão Eletrônico -  Contratação de empresa especializada para a aquisição de materiais promocionais necessários à divulgação de campanhas de caráter institucional do Poder Judiciário do Tocantins;R$ 31,43;SISRP;BRASITUR;03/09/2021;23361387000107;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;925814;2021;5;MATERIAIS;R$ 21
255142;00026/2021;00028;Pregão;415484;MEMÓRIA PORTÁTIL MICROCOMPUTADOR;MEMÓRIA PORTÁTIL MICROCOMPUTADOR, CAPACIDADE MEMÓRIA:16 GB, INTERFACE:USB 2.0, CARACTERÍSTICAS ADICIONAIS:CORPO PLÁSTICO, ADAPTADOR COM PROTEÇÃO METÁLICA, TIPO:PEN DRIVE;UNIDADE;200;21;BRASITUR EVENTOS E TURISMO LTDA;ESTADO DE TOCANTINS;925814 - TRIBUNAL DE JUSTIÇA DO ESTADO DE TOCANTINS;Pregão Eletrônico -  Contratação de empresa especializada para a aquisição de materiais promocionais necessários à divulgação de campanhas de caráter institucional do Poder Judiciário do Tocantins;R$ 30,93;SISRP;BRASITUR;03/09/2021;23361387000107;Micro Empresa;REPUBLICA FEDERATIVA DO BRASIL;925814;2021;5;MATERIAIS;R$ 21
